Grady - fill and shuffle,(10000, 1000),0.2,1.18696,1.18552,0.00790
Grady - min col or row,(10000, 1000),0.2,2.29653,2.30527,0.02378
Grady - max col or row,(10000, 1000),0.2,1.40851,1.41016,0.01519
Grady - all zeros,(10000, 1000),0.2,2.20418,2.20942,0.02816
Grady - all ones,(10000, 1000),0.2,1.17076,1.17485,0.01067
Grady - total fill percentage,(10000, 1000),0.2,1.11164,1.10922,0.01440
Swap,(10000, 1000),0.2,46.42402,46.39025,0.13581
Curveball,(10000, 1000),0.2,13.41862,13.39892,0.05568
Cupy,(10000, 1000),0.2,0.95332,0.95117,0.01465
Grady - fill and shuffle,(10000, 1000),0.3,1.20682,1.20519,0.00739
Grady - min col or row,(10000, 1000),0.3,2.60957,2.60367,0.04624
Grady - max col or row,(10000, 1000),0.3,1.43039,1.42719,0.01924
Grady - all zeros,(10000, 1000),0.3,2.51193,2.51987,0.04128
Grady - all ones,(10000, 1000),0.3,1.18268,1.18592,0.00912
Grady - total fill percentage,(10000, 1000),0.3,1.13668,1.13345,0.01629
Swap,(10000, 1000),0.3,43.15539,43.10412,0.09353
Curveball,(10000, 1000),0.3,18.84067,18.82073,0.04341
Cupy,(10000, 1000),0.3,1.01657,1.01261,0.02177
Grady - fill and shuffle,(10000, 1000),0.4,1.21275,1.21479,0.01093
Grady - min col or row,(10000, 1000),0.4,2.93691,2.94763,0.03488
Grady - max col or row,(10000, 1000),0.4,1.42474,1.41925,0.01437
Grady - all zeros,(10000, 1000),0.4,2.91473,2.91376,0.04011
Grady - all ones,(10000, 1000),0.4,1.18661,1.18516,0.00744
Grady - total fill percentage,(10000, 1000),0.4,1.17150,1.17520,0.02298
Swap,(10000, 1000),0.4,45.84888,45.81676,0.13827
Curveball,(10000, 1000),0.4,22.64163,22.62041,0.08449
Cupy,(10000, 1000),0.4,1.02219,1.02434,0.02580
Grady - fill and shuffle,(10000, 1000),0.5,1.20597,1.20672,0.00895
Grady - min col or row,(10000, 1000),0.5,3.45966,3.48055,0.08378
Grady - max col or row,(10000, 1000),0.5,1.41765,1.41931,0.01013
Grady - all zeros,(10000, 1000),0.5,3.34671,3.34355,0.06849
